,ids
0,1361965949335834630
1,1364461873492598784
2,1364497167709257729
3,1364592165675020288
4,1364575276424978434
5,1364572259281752070
6,1364545124059987970
7,1364500851813994497
8,1364497425331814400
9,1364475288617426944
10,1364412424544223232
11,1364332357201846275
12,1364330097046609923
13,1364314743742337024
14,1364306147927355394
15,1364264675328880644
16,1364263717534396427
17,1364263660093333506
18,1364238213708136461
19,1364206702908874754
20,1364185587574530049
21,1364159513251753984
22,1364150763363123210
23,1364129860596203520
24,1363917120636137472
25,1363853325968539652
26,1363718579317846019
27,1363571117852606466
28,1363533184391086081
29,1363470426182189060
30,1363453434616233986
31,1363444537650216961
32,1363429292194037760
33,1363277764569227268
34,1363262768657358851
35,1363230344875552773
36,1363199758731460610
37,1363199450798297091
38,1363195121995558920
39,1363183709772480512
40,1363178696954281987
41,1363158758537498628
42,1363138688750862342
43,1363128368116477956
44,1363100013795172353
45,1363083009763737603
46,1363017463731003392
47,1362868378168393734
48,1362831015929147397
49,1362782163129798659
50,1362756440960737282
51,1362676189261942786
52,1362654866083086339
53,1362520927293083650
54,1362515368510709761
55,1362499192510423041
56,1362490291475927045
57,1362445390117797895
58,1362440131026763776
59,1362413312936402958
60,1362318819587457024
61,1362292192136503297
62,1362140281458614275
63,1362134445847965698
64,1362127458837934083
65,1362115789587898370
66,1362099534604738567
67,1361927495776411654
68,1361915692321234948
69,1364500851813994497
70,1364263660093333506
71,1363893982858772486
72,1363850905276284928
73,1363211446629392391
74,1363117591024324616
75,1362878050346614790
76,1362863239319683072
77,1362399429270061057
78,1362350365782507527
79,1362000999813152770
80,1361807116504293378
